red,green,blue,closest_id,closest_dist
78,74,65,,
76,74,62,,
76,74,62,,
78,76,64,,
77,75,62,,
78,76,63,,
75,73,61,,
80,73,63,,
85,79,55,,
143,133,98,,
153,139,104,,
147,133,98,,
141,126,93,,
148,133,102,,
140,124,90,,
156,140,104,,
164,146,108,,
175,158,114,,
176,159,113,,
173,154,111,,
191,173,125,,
190,170,119,,
185,168,122,,
144,132,94,,
107,113,99,,
110,124,125,,
117,126,125,,
93,103,94,,
86,98,86,,
79,90,76,,
78,89,75,,
89,97,84,,
77,83,71,,
77,80,69,,
75,78,67,,
74,80,68,,
79,85,73,,
76,82,70,,
72,80,69,,
79,85,75,,
86,92,82,,
78,81,72,,
72,73,65,,
74,76,65,,
74,76,65,,
75,75,67,,
75,75,67,,
77,78,70,,
77,78,70,,
77,78,72,,
80,79,74,,
70,71,65,,
71,72,66,,
75,76,70,,
77,77,69,,
78,75,70,,
77,72,68,,
77,74,69,,
75,75,65,,
83,83,73,,
81,78,69,,
79,75,66,,
76,71,65,,
72,69,62,,
71,72,66,,
80,85,79,,
79,86,79,,
86,93,86,,
83,93,85,,
81,90,85,,
83,94,86,,
80,91,83,,
81,91,82,,
77,85,74,,
78,84,74,,
78,84,74,,
76,81,74,,
77,84,77,,
84,94,86,,
86,95,92,,
89,99,101,,
95,105,107,,
99,109,110,,
99,109,110,,
94,104,105,,
105,115,116,,
108,118,117,,
104,114,113,,
94,103,100,,
90,99,94,,
82,88,84,,
87,95,97,,
98,107,106,,
104,114,105,,
72,83,69,,
80,87,79,,
79,85,81,,
96,103,96,,
83,88,81,,
85,90,83,,
86,91,84,,
78,83,76,,
79,80,74,,
78,79,71,,
80,80,72,,
83,83,75,,
81,81,73,,
81,81,73,,
80,80,72,,
80,80,72,,
78,78,70,,
79,80,74,,
77,78,72,,
83,83,71,,
77,77,65,,
76,76,64,,
78,78,68,,
76,76,68,,
77,74,67,,
78,76,64,,
78,74,62,,
76,74,61,,
72,73,59,,
75,71,62,,
77,75,60,,
78,76,64,,
83,76,70,,
82,74,61,,
107,96,68,,
146,131,98,,
148,133,100,,
147,134,99,,
172,158,119,,
142,124,88,,
150,132,92,,
181,162,122,,
146,132,97,,
165,148,104,,
179,163,114,,
167,148,106,,
181,160,113,,
187,165,115,,
195,177,131,,
154,146,110,,
102,111,92,,
112,127,124,,
108,117,116,,
97,109,99,,
85,98,88,,
84,94,83,,
83,91,78,,
102,108,98,,
82,88,78,,
77,78,70,,
75,78,67,,
75,81,69,,
76,82,70,,
79,85,71,,
77,83,73,,
79,86,78,,
76,83,75,,
90,95,88,,
86,89,78,,
73,75,64,,
75,77,66,,
75,77,66,,
75,75,65,,
75,75,67,,
76,76,66,,
76,76,68,,
75,74,69,,
72,71,66,,
82,81,76,,
73,73,65,,
78,78,70,,
78,73,67,,
78,71,65,,
81,78,73,,
86,86,78,,
77,77,67,,
75,73,61,,
76,72,61,,
78,73,67,,
75,74,69,,
76,78,73,,
79,89,81,,
82,91,86,,
86,95,90,,
88,98,90,,
81,91,83,,
84,94,86,,
82,92,83,,
75,85,74,,
78,88,77,,
77,83,71,,
77,80,71,,
77,80,73,,
73,79,75,,
84,93,88,,
86,96,95,,
95,105,107,,
96,106,107,,
102,112,113,,
112,122,123,,
108,118,119,,
116,126,127,,
103,111,113,,
103,111,113,,
104,113,112,,
89,98,95,,
89,98,95,,
97,106,103,,
90,99,94,,
87,97,88,,
80,88,75,,
82,90,79,,
85,92,84,,
85,91,87,,
80,85,78,,
83,88,81,,
88,93,86,,
83,86,79,,
83,84,76,,
80,82,71,,
80,81,73,,
80,81,73,,
80,80,70,,
81,81,69,,
81,81,69,,
79,79,69,,
83,85,74,,
81,82,68,,
94,93,73,,
90,88,65,,
93,92,71,,
87,84,65,,
80,79,61,,
78,79,63,,
83,81,66,,
80,78,65,,
77,75,63,,
77,75,62,,
73,74,58,,
76,72,60,,
75,76,58,,
76,74,59,,
82,78,69,,
85,80,60,,
158,148,112,,
158,142,106,,
155,141,102,,
142,129,87,,
154,139,96,,
200,182,134,,
222,202,152,,
200,179,132,,
157,139,101,,
173,156,104,,
178,158,107,,
176,157,114,,
174,156,108,,
196,174,124,,
193,172,125,,
156,145,115,,
96,104,93,,
105,124,120,,
101,114,107,,
110,121,115,,
94,106,96,,
89,97,86,,
89,95,83,,
83,89,75,,
98,102,88,,
83,83,71,,
77,77,65,,
79,81,68,,
79,81,70,,
78,80,69,,
80,86,74,,
82,85,74,,
85,88,77,,
82,85,74,,
85,87,76,,
88,90,79,,
76,78,67,,
75,75,65,,
76,76,66,,
74,74,64,,
75,75,63,,
77,77,67,,
78,78,70,,
70,70,62,,
91,91,83,,
71,72,64,,
77,77,69,,
77,72,66,,
77,70,64,,
88,85,80,,
76,77,69,,
80,82,71,,
73,73,61,,
73,71,59,,
74,71,64,,
80,81,75,,
81,86,80,,
85,95,87,,
85,95,87,,
88,98,90,,
91,101,93,,
86,96,88,,
84,93,88,,
81,92,84,,
74,86,74,,
81,91,80,,
74,80,70,,
78,81,72,,
82,83,77,,
75,80,74,,
79,90,84,,
99,109,108,,
104,114,115,,
102,112,113,,
104,114,115,,
112,122,123,,
120,130,131,,
113,123,124,,
107,115,117,,
107,115,117,,
105,114,113,,
92,101,98,,
94,103,98,,
101,110,107,,
94,103,100,,
69,79,70,,
90,98,87,,
92,99,91,,
73,79,75,,
86,92,90,,
87,92,85,,
88,93,86,,
85,90,83,,
85,88,81,,
78,79,71,,
81,82,76,,
80,81,75,,
82,81,76,,
84,83,78,,
83,83,71,,
80,81,63,,
83,85,63,,
125,124,94,,
181,173,134,,
187,175,127,,
174,164,115,,
176,168,122,,
181,172,129,,
172,164,125,,
159,154,116,,
129,124,94,,
83,78,59,,
80,77,68,,
80,78,66,,
76,77,63,,
80,78,66,,
78,78,66,,
81,79,67,,
84,78,64,,
92,86,64,,
155,143,101,,
189,170,128,,
149,132,88,,
221,204,161,,
154,135,92,,
208,186,136,,
232,211,158,,
195,171,125,,
155,132,98,,
180,160,109,,
209,186,136,,
185,164,117,,
187,169,119,,
194,172,122,,
180,162,116,,
151,133,93,,
194,192,169,,
120,131,125,,
107,119,115,,
127,139,139,,
102,113,107,,
82,92,84,,
88,93,86,,
83,86,77,,
83,83,75,,
82,79,72,,
82,82,70,,
77,78,64,,
