,red,green,blue,closest
1404,76,71,65,
1405,72,69,62,
1406,71,72,66,
1407,80,85,79,
1408,79,86,79,
1409,86,93,86,
1410,83,93,85,
1411,81,90,85,
1412,83,94,86,
1413,80,91,83,
1414,81,91,82,
1415,77,85,74,
1416,78,84,74,
1417,78,84,74,
1418,76,81,74,
1419,77,84,77,
1420,84,94,86,
1421,86,95,92,
1422,89,99,101,
1423,95,105,107,
1424,99,109,110,
1425,99,109,110,
1426,94,104,105,
1427,105,115,116,
1428,108,118,117,
1429,104,114,113,
1430,94,103,100,
1431,90,99,94,
1432,82,88,84,
1433,87,95,97,
1434,98,107,106,
1435,104,114,105,
1436,72,83,69,
1437,80,87,79,
1438,79,85,81,
1439,96,103,96,
1440,83,88,81,
1441,85,90,83,
1442,86,91,84,
1443,78,83,76,
1444,79,80,74,
1445,78,79,71,
1446,80,80,72,
1447,83,83,75,
1448,81,81,73,
1449,81,81,73,
1450,80,80,72,
1451,80,80,72,
1452,78,78,70,
1453,79,80,74,
1454,77,78,72,
1455,83,83,71,
1456,77,77,65,
1457,76,76,64,
1458,78,78,68,
1459,76,76,68,
1460,77,74,67,
1461,78,76,64,
1462,78,74,62,
1463,76,74,61,
1464,72,73,59,
1465,75,71,62,
1466,77,75,60,
1467,78,76,64,
1468,83,76,70,
1469,82,74,61,
1470,107,96,68,
1471,146,131,98,
1472,148,133,100,
1473,147,134,99,
1474,172,158,119,
1475,142,124,88,
1476,150,132,92,
1477,181,162,122,
1478,146,132,97,
1479,165,148,104,
1480,179,163,114,
1481,167,148,106,
1482,181,160,113,
1483,187,165,115,
1484,195,177,131,
1485,154,146,110,
1486,102,111,92,
1487,112,127,124,
1488,108,117,116,
1489,97,109,99,
1490,85,98,88,
1491,84,94,83,
1492,83,91,78,
1493,102,108,98,
